clubID,name,description,memberCount
1,Them Club,Mission threat kid others.,8
2,Huge Club,Special force identify score citizen evening.,45
3,Marriage Club,Director certainly us rule team not some.,20
4,Control Club,Benefit chair form southern such oil.,38
5,Shoulder Club,Hospital seat trial goal inside between enjoy.,22
6,Culture Club,Debate play issue sing music.,19
7,Anything Club,Certain fish none Mr recent.,30
8,Right Club,Indeed happen hotel maybe product pattern strategy.,11
9,Student Club,Film including image agreement special.,8
10,Night Club,Television performance push determine pattern about lawyer increase.,28
11,Around Club,Mother sit race question.,10
12,Near Club,Floor yes capital piece third.,19
13,Ball Club,May find he.,40
14,Memory Club,Attention his ago.,5
15,Night Club,Election glass adult girl dark send change.,5
16,Wait Club,Remain group eight leave indicate always.,19
17,Him Club,Responsibility black one keep.,6
18,Anything Club,Water of walk home bit.,29
19,Head Club,Station interest hold others Congress red.,5
20,View Club,Right sound whether believe owner fire who tax.,34
21,Laugh Club,Order able break beyond right guess.,25
22,For Club,Seem heart store nothing somebody view today.,8
23,Require Club,Know front then music.,18
24,Ground Club,Parent security cost avoid involve seat able.,25
25,Face Club,Almost other power rise.,7
26,Community Club,Probably daughter find customer figure buy media.,46
27,Career Club,Yet personal company clear once fly charge.,48
28,Thousand Club,Local purpose church peace.,45
29,Option Club,Figure go above.,14
30,Little Club,Continue career order nature.,23
