courseID,creditNumber,courseName
1,1,Build Themselves
2,4,Each Program
3,3,Both Politics
4,4,Plant Somebody
5,1,Hotel Somebody
6,4,Table Lay
7,2,Talk Family
8,4,Spend Interest
9,4,Yet Energy
10,3,Like Month
11,3,Back Quite
12,4,Happy Raise
13,4,Consumer Believe
14,5,Teacher Fast
15,4,Spring Hit
16,4,How Find
17,3,Final No
18,5,Several There
19,4,Then Election
20,3,Wear Risk
21,4,Section Wife
22,4,Performance Thing
23,3,Must Common
24,1,When Work
25,1,Rule Box
26,4,Interesting Vote
27,1,Strong Skill
28,4,Herself Hand
29,1,Participant Write
30,4,Individual Various
31,3,Serious Degree
32,2,Tough Right
33,5,Will Decade
34,5,Example Lead
35,2,Project Look
36,2,Hit Possible
37,4,Ever Else
38,1,Both Model
39,2,Even Sort
40,4,Central Play
41,3,Newspaper Risk
42,4,Both Explain
43,3,Yourself Kitchen
44,5,Morning Beat
45,1,Administration Whole
46,1,Modern Tend
47,3,Letter Look
48,4,Kind Become
49,3,Station Instead
50,1,Safe Middle
