eventID,endTime,startTime,date
1,20:41:17,15:11:33,2026-06-24
2,20:18:49,21:17:44,2025-07-17
3,09:06:03,12:21:38,2025-07-21
4,05:31:03,01:41:28,2026-02-08
5,09:33:05,21:44:43,2025-09-05
6,05:01:58,03:04:07,2025-10-11
7,17:13:11,01:17:04,2025-12-30
8,20:38:28,03:06:27,2026-10-22
9,23:24:41,10:59:39,2026-07-07
10,18:25:28,07:51:12,2026-03-02
11,17:58:40,18:34:48,2026-03-01
12,09:49:21,02:43:55,2026-05-15
13,22:08:13,16:01:26,2026-06-22
14,02:51:27,15:08:17,2026-06-08
15,14:36:21,04:22:17,2025-04-01
16,23:47:00,04:44:54,2025-01-13
17,18:03:32,00:08:58,2026-06-03
18,11:48:45,13:08:14,2025-09-27
19,23:18:32,12:32:21,2026-10-15
20,03:04:44,06:09:48,2025-01-31
21,04:27:55,01:54:49,2025-05-13
22,13:54:19,02:29:41,2025-12-11
23,08:15:38,22:58:04,2025-06-21
24,21:14:56,13:59:06,2026-06-04
25,22:36:00,21:54:47,2024-12-26
26,07:24:28,01:11:41,2024-12-13
27,04:01:12,05:57:43,2026-05-28
28,20:00:25,01:03:14,2026-06-15
29,12:26:03,23:23:03,2026-10-03
30,00:45:15,08:59:56,2025-01-07
31,21:35:17,10:44:59,2026-01-05
32,18:11:25,04:51:45,2025-01-28
33,17:18:06,12:29:35,2026-07-24
34,02:54:18,16:50:57,2025-06-04
35,08:04:48,19:19:23,2025-09-01
36,02:48:33,02:36:32,2025-05-14
37,23:26:56,19:19:17,2026-08-16
38,03:37:29,12:23:17,2024-10-29
39,10:38:48,10:34:04,2025-05-26
40,10:55:12,19:28:31,2025-02-01
41,16:44:41,17:04:46,2026-04-25
42,18:00:26,08:20:47,2026-10-03
43,03:52:23,00:47:31,2026-04-21
44,01:42:50,15:40:32,2026-09-07
45,03:51:58,01:12:50,2026-07-06
46,22:40:55,22:13:37,2025-06-22
47,17:03:29,20:07:18,2025-12-06
48,21:30:13,05:31:45,2024-12-09
49,21:17:58,01:23:10,2026-09-25
50,16:11:24,07:56:30,2025-01-21
51,13:49:31,22:20:50,2026-07-14
52,06:21:31,15:10:04,2024-11-18
53,10:39:12,21:16:20,2026-07-28
54,17:10:37,21:03:43,2026-04-11
55,22:37:00,07:01:52,2026-07-19
56,12:26:10,20:31:13,2024-12-05
57,18:52:23,14:35:29,2026-10-12
58,06:26:00,16:59:08,2025-09-12
59,03:43:50,04:49:01,2026-02-16
60,03:13:26,22:01:30,2026-02-05
61,11:44:52,02:47:53,2026-03-21
62,16:25:40,12:57:10,2026-08-16
63,18:12:33,11:50:53,2025-11-28
64,21:59:47,20:49:54,2025-07-18
65,11:05:58,21:03:15,2025-09-12
66,17:22:38,02:16:21,2024-12-28
67,10:23:16,22:51:16,2025-02-23
68,10:38:45,07:43:08,2025-09-13
69,06:33:57,22:40:42,2026-07-22
70,11:53:36,00:38:53,2026-04-07
71,09:59:11,10:36:57,2026-06-28
72,04:00:08,12:09:54,2025-03-24
73,18:21:04,17:29:20,2026-05-02
74,23:04:39,14:40:22,2025-07-17
75,01:29:18,11:52:06,2026-06-21
76,13:16:33,05:15:05,2025-06-09
77,08:11:38,10:28:14,2024-10-24
78,02:35:28,22:57:02,2026-07-18
79,04:22:55,06:53:44,2025-12-06
80,18:37:55,06:40:01,2025-12-04
