eventID,locationID
1,5
2,33
3,40
4,3
5,19
6,20
7,6
8,49
9,44
10,14
11,5
12,27
13,2
14,12
15,19
16,6
17,6
18,15
19,37
20,49
21,23
22,37
23,32
24,30
25,42
26,7
27,46
28,32
29,45
30,12
31,32
32,38
33,48
34,9
35,27
36,24
37,23
38,46
39,38
40,24
41,26
42,34
43,24
44,19
45,50
46,22
47,44
48,3
49,13
50,10
51,49
52,45
53,27
54,6
55,46
56,50
57,32
58,9
59,12
60,31
61,34
62,27
63,36
64,5
65,50
66,42
67,31
68,36
69,28
70,47
71,14
72,45
73,18
74,49
75,37
76,39
77,37
78,20
79,9
80,33
