clubID,eventID
1,57
1,15
1,22
2,29
2,49
3,52
3,78
4,5
4,44
5,51
5,18
5,67
5,28
6,51
6,69
7,46
7,79
8,44
9,51
9,31
9,54
10,15
10,73
10,66
11,51
11,10
12,70
13,24
13,37
13,45
13,16
14,68
14,38
14,37
15,30
15,7
15,68
15,62
16,58
16,12
16,47
17,5
17,9
17,60
17,49
18,45
18,15
19,52
19,4
19,30
19,16
20,15
20,5
20,68
21,2
21,17
22,28
22,17
23,76
23,17
24,22
24,71
24,50
24,57
25,42
25,18
25,79
26,9
27,19
27,41
27,60
27,4
28,8
28,69
28,76
29,22
30,33
30,39
30,71
30,53
