ASUID,enrollmentDate,gradDate,creditsEarned,Major,Minor,GPA
1920275710,2024-03-18,2030-09-03,111,Under,Me,3.15
1340580601,2023-05-21,2024-05-26,23,Significant,Before,3.03
1701322888,2022-10-03,2027-09-20,64,Property,N/A,2.57
1013457763,2025-10-19,2028-10-07,16,Collection,N/A,3.57
1022017127,2022-07-22,2023-05-27,61,Leave,N/A,2.52
1132809582,2023-06-19,2025-03-03,46,Out,N/A,2.25
1309116767,2024-01-13,2027-03-13,36,Already,N/A,3.76
1121582651,2021-11-21,2026-03-08,22,Another,Allow,3.97
1842524563,2023-02-26,2025-12-17,27,Challenge,Both,2.86
1534644354,2022-07-26,2028-02-10,25,Candidate,Laugh,2.68
1472663594,2025-05-15,2029-08-19,76,Chance,N/A,2.06
1947287219,2023-03-24,2026-10-21,122,Prepare,N/A,2.74
1280589391,2025-09-27,2028-04-29,126,Service,N/A,3.48
1746881835,2021-02-08,2027-10-06,32,Statement,Charge,2.74
1405904288,2024-09-17,2029-05-04,46,Author,N/A,3.53
1240024044,2023-02-09,2028-04-04,55,Full,N/A,2.56
1965810421,2022-04-27,2023-01-09,92,So,N/A,3.36
1613477171,2024-05-05,2026-07-09,89,Center,Agree,3.9
1747394756,2023-07-21,2028-02-16,82,Appear,N/A,2.83
1482647691,2023-02-07,2027-09-14,123,Positive,Town,3.25
1943679101,2025-03-25,2030-04-25,82,Cup,Million,3.73
1099551026,2021-10-23,2022-03-05,16,Early,Game,3.4
1686948629,2023-10-08,2027-04-26,25,Ahead,Exist,2.77
1931257019,2023-05-08,2028-04-20,120,Crime,Else,2.18
1568828363,2021-03-14,2027-07-14,37,Voice,N/A,3.4
1939363342,2021-12-14,2028-08-19,37,Church,Together,2.06
1202609917,2024-07-07,2027-08-08,43,Goal,N/A,3.84
1049162329,2022-06-02,2028-02-20,110,Box,N/A,3.74
1851519573,2022-07-31,2029-07-04,81,Phone,Forward,2.27
1109034381,2022-11-12,2024-08-01,2,Relate,Available,3.8
1806054876,2022-08-09,2026-08-14,116,Into,What,2.94
1378589250,2025-02-13,2026-08-10,132,Take,N/A,3.07
1934684736,2025-03-28,2028-09-30,110,Moment,N/A,2.29
1037478604,2023-10-24,2028-06-11,30,Drug,Look,3.18
1294600347,2025-03-08,2025-06-10,13,Among,N/A,2.46
1756586659,2024-04-18,2025-10-25,137,Ok,Perhaps,3.15
1077423275,2025-07-16,2028-09-30,49,Where,School,3.12
1316541024,2025-10-04,2028-09-06,83,Use,N/A,2.57
1600629587,2025-04-27,2028-08-26,30,Them,Beat,2.69
1237824025,2020-10-28,2029-09-01,23,Often,Must,3.97
1989955882,2023-09-26,2024-07-17,26,Any,Prove,3.2
1482162329,2025-02-11,2027-01-08,118,Itself,N/A,3.07
1195174430,2024-07-15,2024-10-30,40,Hot,Enough,3.93
1312604806,2025-06-02,2030-03-03,4,Debate,N/A,3.4
1855333405,2022-11-22,2026-04-01,50,Challenge,N/A,2.85
1817510494,2025-06-28,2029-09-09,70,Thus,News,2.42
1493159585,2022-03-17,2022-05-05,15,Her,N/A,2.22
1446905283,2022-08-23,2027-10-17,47,This,N/A,4.0
1483255169,2023-08-27,2024-02-16,94,Area,Language,2.63
1662565308,2022-10-11,2027-09-27,3,Trial,Relationship,3.14
1164303693,2021-04-26,2022-12-17,34,Father,His,3.45
1414112168,2024-08-28,2026-10-24,135,Success,N/A,3.8
1776757744,2023-10-31,2027-08-30,137,Commercial,N/A,2.66
1361051152,2021-11-02,2027-04-08,132,High,Positive,3.8
1851914615,2021-01-27,2024-09-23,18,System,Very,3.87
1441149898,2024-05-15,2029-10-23,124,Care,Move,3.03
1634108568,2025-04-17,2026-11-07,108,Mother,Behind,2.65
1804666022,2025-04-23,2029-01-15,0,Should,Will,3.46
1051717690,2025-03-24,2028-03-14,116,Home,N/A,2.09
1045729861,2024-10-13,2028-02-05,102,Part,N/A,3.25
1826491762,2024-02-16,2029-01-06,43,Three,N/A,3.41
1062539433,2023-05-30,2023-06-24,80,Green,N/A,2.46
1820031865,2024-08-18,2028-06-17,39,Power,N/A,2.81
1883089590,2023-11-21,2026-11-26,64,Talk,Your,3.8
1832799751,2022-03-28,2025-12-23,54,Your,N/A,2.86
1830586741,2025-04-01,2026-03-14,117,Enjoy,Father,2.28
1041246943,2022-05-17,2030-06-25,113,West,Pattern,3.81
1811561209,2025-08-03,2025-10-26,13,Particular,N/A,3.2
